iter	Passed	Remaining
475	86848	95605
476	87037	95430
477	87218	95247
478	87404	95067
479	87589	94889
480	87773	94707
481	87954	94523
482	88131	94335
483	88311	94150
484	88492	93965
485	88675	93784
486	88847	93590
487	89034	93412
488	89211	93225
489	89390	93039
490	89565	92848
491	89740	92658
492	89924	92477
493	90195	92386
494	90387	92213
495	90570	92031
496	90752	91847
497	90931	91661
498	91131	91496
499	91419	91419
500	91688	91322
501	91867	91135
502	92052	90954
503	92268	90803
504	92511	90679
505	92723	90524
506	92915	90350
507	93095	90163
508	93274	89976
509	93455	89790
510	93633	89602
511	93843	89444
512	94027	89262
513	94224	89092
514	94409	88909
515	94586	88720
516	94828	88592
517	95057	88451
518	95247	88273
519	95429	88088
520	95614	87906
521	95794	87720
522	95978	87536
523	96167	87358
524	96406	87225
525	96594	87044
526	96781	86864
527	96962	86678
528	97163	86510
529	97354	86332
530	97529	86142
531	97710	85956
532	97884	85763
533	98065	85577
534	98271	85413
535	98457	85231
536	98688	85089
537	98864	84898
538	99041	84708
539	99221	84521
540	99392	84327
541	99585	84151
542	99771	83969
543	99947	83779
544	100136	83600
545	100330	83424
546	100513	83240
547	100690	83051
548	100868	82862
549	101048	82676
550	101228	82489
551	101408	82302
552	101601	82125
553	101787	81944
554	101963	81754
555	102140	81565
556	102314	81374
557	102493	81186
558	102670	80998
559	102847	80809
560	103027	80622
561	103206	80434
562	103378	80242
563	103554	80053
564	103727	79861
565	103905	79672
566	104077	79480
567	104251	79289
568	104428	79101
569	104608	78915
570	104784	78726
571	104960	78536
572	105135	78347
573	105309	78156
574	105486	77968
575	105660	77777
576	105839	77591
577	106017	77403
578	106196	77217
579	106370	77026
580	106556	76845
581	106776	76688
582	107077	76588
583	107302	76434
584	107565	76306
585	107903	76232
586	108091	76050
587	108273	75864
588	108462	75684
589	108641	75496
590	108825	75312
591	109005	75125
592	109186	74938
593	109367	74752
594	109545	74564
595	109735	74384
596	109916	74198
597	110099	74013
598	110293	73836
599	110480	73653
600	110656	73463
601	110864	73295
602	111048	73111
603	111229	72925
604	111405	72736
605	111583	72547
606	111760	72358
607	111936	72169
608	112112	71980
609	112292	71793
610	112471	71606
611	112650	71418
612	112829	71231
613	113000	71039
614	113171	70847
615	113350	70659
616	113523	70468
617	113696	70278
618	113869	70087
619	114083	69922
620	114270	69739
621	114471	69566
622	114645	69375
623	114821	69187
624	114993	68995
625	115167	68806
626	115342	68616
627	115525	68432
628	115735	68263
629	115912	68075
630	116090	67888
631	116261	67696
632	116432	67505
633	116613	67319
634	116790	67131
635	116969	66944
636	117160	66764
637	117357	66588
638	117544	66406
639	117724	66220
640	117935	66050
641	118157	65888
642	118337	65702
643	118507	65510
644	118685	65322
645	118860	65134
646	119047	64951
647	119221	64762
648	119398	64574
649	119571	64384
650	119751	64198
651	119921	64006
652	120091	63816
653	120267	63627
654	120441	63438
655	120608	63246
656	120782	63057
657	120958	62868
658	121136	62682
659	121310	62493
660	121483	62304
661	121653	62113
662	121825	61923
663	121997	61733
664	122167	61543
665	122341	61354
666	122512	61164
667	122689	60977
668	122865	60789
669	123040	60601
670	123213	60413
671	123381	60221
672	123549	60030
673	123716	59839
674	123892	59651
675	124061	59461
676	124233	59272
677	124410	59085
678	124589	58900
679	124760	58710
680	124928	58520
681	125100	58331
682	125272	58142
683	125444	57953
684	125617	57765
685	125791	57577
686	125963	57389
687	126138	57202
688	126314	57015
689	126486	56827
690	126658	56638
691	126827	56449
692	127003	56262
693	127176	56074
694	127358	55891
695	127537	55705
696	127706	55516
697	127878	55328
698	128049	55140
699	128226	54954
700	128401	54767
701	128589	54586
702	128770	54402
703	128943	54214
704	129117	54028
705	129286	53838
706	129461	53652
707	129631	53463
708	129803	53276
709	129977	53089
710	130151	52902
711	130328	52717
712	130500	52529
713	130671	52341
714	130845	52155
715	131022	51969
716	131192	51781
717	131364	51594
718	131545	51410
719	131714	51222
720	131882	51033
721	132055	50846
722	132233	50661
723	132399	50472
724	132571	50285
725	132747	50100
726	132922	49914
727	133095	49728
728	133264	49540
729	133432	49351
730	133599	49162
731	133768	48975
732	133935	48787
733	134108	48600
734	134274	48412
735	134446	48225
736	134623	48040
737	134791	47852
738	134966	47667
739	135134	47479
740	135302	47291
741	135476	47106
742	135647	46919
743	135815	46732
744	135992	46547
745	136161	46360
746	136328	46172
747	136498	45986
748	136667	45799
749	136840	45613
750	137010	45426
751	137185	45241
752	137352	45054
753	137529	44870
754	137696	44683
755	137867	44496
756	138041	44311
757	138208	44124
758	138375	43937
759	138548	43752
760	138722	43567
761	138890	43380
762	139058	43193
763	139231	43008
764	139402	42823
765	139570	42636
766	139739	42450
767	139906	42263
768	140080	42078
769	140253	41893
770	140421	41707
771	140597	41523
772	140765	41337
773	140941	41153
774	141109	40967
775	141277	40781
776	141443	40594
777	141616	40409
778	141785	40224
779	141952	40037
780	142129	39854
781	142300	39669
782	142471	39484
783	142648	39301
784	142823	39117
785	142998	38933
786	143165	38747
787	143333	38561
788	143523	38381
789	143690	38196
790	143859	38010
791	144030	37826
792	144205	37642
793	144378	37458
794	144551	37274
795	144719	37088
796	144890	36904
797	145065	36720
798	145233	36535
799	145406	36351
800	145574	36166
801	145745	35982
802	145915	35797
803	146089	35613
804	146255	35428
805	146424	35243
806	146599	35060
807	146775	34877
808	146942	34692
809	147117	34508
810	147287	34324
811	147454	34139
812	147627	33956
813	147800	33772
814	147967	33587
815	148140	33404
816	148310	33220
817	148484	33036
818	148652	32852
819	148830	32670
820	149004	32487
821	149180	32304
822	149351	32120
823	149520	31936
824	149694	31753
825	149860	31568
826	150032	31385
827	150208	31202
828	150377	31018
829	150545	30834
830	150720	30651
831	150895	30469
832	151066	30285
833	151236	30102
834	151403	29918
835	151579	29735
836	151751	29552
837	151918	29368
838	152083	29183
839	152264	29002
840	152438	28820
841	152608	28636
842	152782	28454
843	152954	28271
844	153130	28088
845	153305	27906
846	153471	27722
847	153641	27539
848	153825	27358
849	153993	27175
850	154166	26992
851	154338	26809
852	154510	26627
853	154687	26445
854	154863	26263
855	155043	26082
856	155221	25900
857	155395	25718
858	155568	25535
859	155736	25352
860	155909	25170
861	156075	24986
862	156252	24804
863	156418	24621
864	156591	24439
865	156762	24256
866	156938	24074
867	157109	23892
868	157284	23710
869	157458	23528
870	157637	23346
871	157812	23165
872	157981	22982
873	158150	22799
874	158334	22619
875	158517	22438
876	158722	22260
877	159016	22095
878	159219	21917
879	159385	21734
880	159556	21551
881	159764	21374
882	159972	21196
883	160211	21023
884	160430	20846
885	160620	20666
886	160794	20484
887	160977	20303
888	161150	20121
889	161324	19938
890	161593	19768
891	161775	19587
892	161945	19404
893	162121	19222
894	162298	19040
895	162471	18858
896	162647	18676
897	162825	18494
898	162999	18312
899	163200	18133
900	163371	17950
901	163535	17767
902	163711	17585
903	163880	17403
904	164047	17220
905	164220	17038
906	164395	16856
907	164566	16674
908	164734	16491
909	164901	16308
910	165080	16127
911	165261	15946
912	165457	15766
913	165645	15585
914	165818	15403
915	165999	15222
916	166176	15041
917	166366	14860
918	166547	14679
919	166728	14498
920	166905	14316
921	167085	14135
922	167263	13953
923	167446	13772
924	167714	13598
925	167914	13418
926	168137	13240
927	168341	13061
928	168538	12880
929	168751	12701
930	168928	12519
931	169101	12337
932	169275	12155
933	169457	11974
934	169637	11792
935	169817	11611
936	169991	11429
937	170170	11247
938	170354	11066
939	170546	10885
940	170720	10704
941	170897	10522
942	171086	10341
943	171293	10161
944	171471	9979
945	171646	9797
946	171819	9616
947	172022	9435
948	172206	9254
949	172379	9072
950	172555	8890
951	172727	8708
952	172898	8526
953	173069	8345
954	173244	8163
955	173421	7981
956	173598	7800
957	173778	7618
958	173950	7436
959	174131	7255
960	174307	7073
961	174482	6892
962	174679	6711
963	174846	6529
964	175016	6347
965	175185	6165
966	175360	5984
967	175528	5802
968	175704	5621
969	175871	5439
970	176046	5257
971	176216	5076
972	176382	4894
973	176551	4712
974	176724	4531
975	176901	4350
976	177070	4168
977	177240	3987
978	177411	3805
979	177578	3624
980	177751	3442
981	177921	3261
982	178090	3079
983	178258	2898
984	178428	2717
985	178595	2535
986	178766	2354
987	178982	2173
988	179161	1992
989	179332	1811
990	179517	1630
991	179688	1449
992	179863	1267
993	180035	1086
994	180220	905
995	180398	724
996	180576	543
997	180748	362
998	180916	181
999	181091	0
