iter	Logloss
0	0.638826592
1	0.5823325691
2	0.5511746769
3	0.5156016233
4	0.4930509941
5	0.4663774242
6	0.4521013505
7	0.4314106079
8	0.417001731
9	0.4030074179
10	0.3901169705
11	0.3759406804
12	0.3619307448
13	0.3530938393
14	0.3461443352
15	0.337912568
16	0.3305988022
17	0.3232509371
18	0.3173859392
19	0.3052931783
20	0.2973069121
21	0.2875604286
22	0.281406342
23	0.2753494711
24	0.2675492473
25	0.2644857751
26	0.259015143
27	0.2538952905
28	0.2480234544
29	0.2423214072
30	0.2377114576
31	0.2341598665
32	0.2299185286
33	0.2268617427
34	0.2238904644
35	0.2214349162
36	0.2185680084
37	0.2148901565
38	0.211126741
39	0.2084195232
40	0.2047858655
41	0.2014087191
42	0.1990688563
43	0.196119657
44	0.1919205123
45	0.1869640319
46	0.185632424
47	0.1832159086
48	0.1800849838
49	0.1767908406
50	0.1744263546
51	0.1728028011
52	0.1703179095
53	0.1679997529
54	0.1665526424
55	0.1641355655
56	0.1619143566
57	0.1591019739
58	0.1577415848
59	0.1567173448
60	0.1551090607
61	0.1532517113
62	0.1500806374
63	0.1487730491
64	0.1465102402
65	0.1442832757
66	0.1414886977
67	0.1404962936
68	0.1383151554
69	0.1369570384
70	0.1358733724
71	0.1350826586
72	0.1323302688
73	0.1303050832
74	0.1282152994
75	0.1271792611
76	0.1249888741
77	0.1221093075
78	0.1216956507
79	0.1189319635
80	0.117161279
81	0.1148994655
82	0.1128610855
83	0.111044594
84	0.1079928916
85	0.1062936067
86	0.1041024955
87	0.1026386345
88	0.1009501583
89	0.09921712054
90	0.09742205929
91	0.09615829703
92	0.09471662358
93	0.09273848045
94	0.09163769807
95	0.08992038211
96	0.08887686678
97	0.08711955038
98	0.08630501745
99	0.08438482927
100	0.08263921132
101	0.08117487607
102	0.07971829568
103	0.07850979148
104	0.07699117387
105	0.07575284701
106	0.07467465341
107	0.07301886246
108	0.07241932579
109	0.07124494791
110	0.06997106206
111	0.06892276936
112	0.06726622293
113	0.06604020902
114	0.06524108085
115	0.06421618255
116	0.06366358072
117	0.06248022504
118	0.06192534388
119	0.06051892345
120	0.05913923823
121	0.05797847636
122	0.05704471308
123	0.05682641954
124	0.0556034657
125	0.05421508274
126	0.05330527994
127	0.0531446201
128	0.05250674753
129	0.0514013239
130	0.05036181048
131	0.04935406404
132	0.04863512362
133	0.04812191159
134	0.0470213478
135	0.04642718226
136	0.04531404085
137	0.04446762655
138	0.04366661543
139	0.04351050898
140	0.04295525597
141	0.04255520559
142	0.04187000745
143	0.04102292624
144	0.0404372872
145	0.03995036339
146	0.03943320853
147	0.03886238355
148	0.03877399605
149	0.0379898902
150	0.03761050795
151	0.03681183808
152	0.03649439652
153	0.03598100104
154	0.03539129287
155	0.03519975101
156	0.03452940874
157	0.03396442468
158	0.03337203813
159	0.03296509081
160	0.03248728346
161	0.03171152286
162	0.03146543378
163	0.03107270789
164	0.03072233868
165	0.03063325403
166	0.03027711904
167	0.02984711073
168	0.02944475435
169	0.02922831856
170	0.02860035133
171	0.02835494821
172	0.02801720066
173	0.02751405082
174	0.02720877722
175	0.02662430306
176	0.02612565382
177	0.02568722389
178	0.02547790727
179	0.02504020541
180	0.0247480856
181	0.02435469818
182	0.02413344597
183	0.02370267225
184	0.02331444245
185	0.02295466916
186	0.02268210288
187	0.02225443196
188	0.02202837677
189	0.02178268737
190	0.02142842793
191	0.02118288637
192	0.02093464788
193	0.02083724409
194	0.02080277816
195	0.02060328654
196	0.02039279703
197	0.02014200704
198	0.01991607493
199	0.01969100452
200	0.01967802145
201	0.0194766761
202	0.01920225345
203	0.01903456858
204	0.0190019414
205	0.01880141758
206	0.01859603356
207	0.01842931366
208	0.01825123013
209	0.01803710404
210	0.01786481365
211	0.01784144851
212	0.01761853675
213	0.01747950851
214	0.01733638862
215	0.0173111907
216	0.01712432141
217	0.01692086099
218	0.01671677716
219	0.01653403582
220	0.01628371547
221	0.01608932368
222	0.015938948
223	0.01580295779
224	0.01565967454
225	0.01546665514
226	0.01543454144
227	0.0152523326
228	0.01513098456
229	0.01487630022
230	0.01475244214
231	0.01462175117
232	0.01453144339
233	0.01446239447
234	0.01433220994
235	0.01415732741
236	0.0139996355
237	0.01387938175
238	0.0137146298
239	0.0135771295
240	0.0134052767
241	0.01338050442
242	0.0133045564
243	0.01313583489
244	0.01300109273
245	0.01291999944
246	0.01290018119
247	0.01288509929
248	0.01270756852
249	0.01261023082
250	0.01242318353
251	0.01232995203
252	0.01221840209
253	0.01213428361
254	0.0120179919
255	0.01186448417
256	0.01185073809
257	0.01170675359
258	0.0116928523
259	0.01155143045
260	0.01148966987
261	0.01139372734
262	0.01129957928
263	0.01128981869
264	0.01127443146
265	0.01115307601
266	0.01104250406
267	0.01095344132
268	0.01091192011
269	0.01085986613
270	0.0108164024
271	0.01070513696
272	0.01060633009
273	0.01054596849
274	0.01044361261
275	0.01037162277
276	0.01030629356
277	0.01030459063
278	0.01020171355
279	0.0101223658
280	0.01006878188
281	0.01006682278
282	0.01000450938
283	0.009958329858
284	0.009894397868
285	0.009810275078
286	0.009727953771
287	0.009666954992
288	0.009588299019
289	0.009562240934
290	0.009501193041
291	0.009397020086
292	0.009339944118
293	0.00932832031
294	0.009262438358
295	0.009215205467
296	0.009181517177
297	0.009107161946
298	0.00904022879
299	0.009040201488
300	0.008988359499
301	0.008961008659
302	0.008953729237
303	0.008897125021
304	0.008834080284
305	0.008797540416
306	0.008743742925
307	0.008732705915
308	0.008685457459
309	0.008633589469
310	0.008616292364
311	0.008616314133
312	0.00856158948
313	0.008492972422
314	0.008492954583
315	0.008485743751
316	0.0084857428
317	0.008476173701
318	0.008427042141
319	0.00842645329
320	0.008379980244
321	0.008377053944
322	0.008337628828
323	0.008331094204
324	0.008239134168
325	0.008192943394
326	0.008126603864
327	0.00808645952
328	0.008063472615
329	0.008059518044
330	0.008026387673
331	0.007965157427
332	0.007875064963
333	0.007875017401
334	0.007833986191
335	0.00777268122
336	0.007764392321
337	0.007693727339
338	0.007654794248
339	0.007631663134
340	0.007556087244
341	0.007481280562
342	0.007424893079
343	0.007383290154
344	0.007330867437
345	0.007262651183
346	0.007257181801
347	0.007257069811
348	0.007209821282
349	0.007209812948
350	0.00720977175
351	0.007209663194
352	0.007202259699
353	0.007202273576
354	0.007166696322
355	0.007089421506
356	0.007055275543
357	0.007016225481
358	0.006999106488
359	0.006999060022
360	0.006998926041
361	0.00699332057
362	0.006988576716
363	0.006988453809
364	0.006943119816
